epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3483.61,0.58865,0.65907,0.91004,0.42485,0.1494,0.14657,0.11832,1.12299,2.92049,1.20086,3.62202e-05,3.62202e-05,3.62202e-05
41,3574,0.59643,0.65376,0.90492,0.5075,0.1267,0.14892,0.11863,1.11593,2.91472,1.19496,3.3072e-05,3.3072e-05,3.3072e-05
42,3657.39,0.58135,0.60932,0.89112,0.42391,0.15947,0.14962,0.11585,1.11535,2.88231,1.18125,2.99238e-05,2.99238e-05,2.99238e-05
43,3740.33,0.5741,0.56579,0.88632,0.46269,0.14683,0.1579,0.13028,1.11101,2.88924,1.18866,2.67756e-05,2.67756e-05,2.67756e-05
44,3824.27,0.56692,0.56404,0.89097,0.333,0.17062,0.15116,0.12718,1.11911,2.87034,1.19934,2.36274e-05,2.36274e-05,2.36274e-05
45,3906.45,0.56986,0.54374,0.89139,0.42002,0.15654,0.16131,0.13098,1.11711,2.88157,1.19526,2.04792e-05,2.04792e-05,2.04792e-05
46,3990.22,0.55665,0.54386,0.88422,0.35232,0.17618,0.1563,0.12366,1.13836,2.90929,1.21819,1.7331e-05,1.7331e-05,1.7331e-05
47,4073.75,0.55175,0.51856,0.88447,0.43096,0.15293,0.16273,0.13062,1.13072,2.9252,1.206,1.41828e-05,1.41828e-05,1.41828e-05
48,4155.27,0.54471,0.50946,0.87765,0.33324,0.18086,0.15865,0.13084,1.12542,2.92993,1.1931,1.10346e-05,1.10346e-05,1.10346e-05
49,4239.81,0.53543,0.49327,0.87563,0.30929,0.17602,0.15526,0.12808,1.12,2.9293,1.19539,7.8864e-06,7.8864e-06,7.8864e-06
50,4323.05,0.54047,0.50297,0.88766,0.32473,0.17744,0.15582,0.12808,1.12208,2.93245,1.19452,4.7382e-06,4.7382e-06,4.7382e-06
